                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4873,                 1.3583,                 1.7003,                0.73135,                0.76735,                0.88271,                0.52356,                 1.3759,                 1.1995,                 1.7958,             0.00073704,             0.00073704,             0.00073704
                     36,                 1.5719,                 1.3835,                 1.7301,                0.88155,                0.71288,                0.86146,                0.52685,                 1.3541,                 1.1008,                 1.7556,             0.00072604,             0.00072604,             0.00072604
                     37,                 1.4751,                 1.2358,                 1.6426,                 0.7814,                0.78878,                0.88995,                0.56712,                 1.2835,                 1.0381,                 1.6856,             0.00071504,             0.00071504,             0.00071504
                     38,                 1.4666,                 1.2507,                 1.6937,                0.86549,                0.77162,                0.87357,                0.55173,                 1.2727,                 1.0392,                 1.6683,             0.00070404,             0.00070404,             0.00070404
                     39,                 1.4499,                 1.2045,                 1.6751,                0.77974,                0.81637,                0.87421,                0.53472,                 1.3113,                  1.114,                 1.7152,             0.00069304,             0.00069304,             0.00069304
                     40,                  1.481,                 1.2198,                 1.6563,                0.75382,                 0.8027,                0.85769,                0.52219,                 1.2796,                 1.0497,                 1.7009,             0.00068204,             0.00068204,             0.00068204
                     41,                 1.4192,                 1.1621,                 1.6089,                0.86567,                0.77118,                0.87878,                0.53303,                 1.4103,                 1.0305,                  1.806,             0.00067104,             0.00067104,             0.00067104
                     42,                 1.4647,                 1.1186,                  1.641,                0.86653,                0.83933,                0.90787,                0.57871,                 1.2277,                0.95773,                 1.6451,             0.00066005,             0.00066005,             0.00066005
                     43,                 1.4386,                 1.1273,                 1.6162,                0.73902,                0.74365,                0.86087,                0.54635,                  1.338,                 1.0998,                 1.7205,             0.00064905,             0.00064905,             0.00064905
                     44,                 1.4368,                 1.2292,                 1.6291,                 0.8436,                0.89469,                0.91693,                0.56382,                 1.2381,                0.92337,                 1.6643,             0.00063805,             0.00063805,             0.00063805
                     45,                 1.4751,                 1.1604,                 1.6354,                0.85194,                0.89724,                0.92176,                0.56604,                 1.2999,                0.96896,                 1.6781,             0.00062705,             0.00062705,             0.00062705
                     46,                 1.4439,                 1.1613,                 1.6432,                0.85527,                0.83291,                0.90698,                0.54848,                 1.2846,                0.98119,                 1.6753,             0.00061605,             0.00061605,             0.00061605
                     47,                 1.4758,                 1.1059,                 1.6189,                0.85674,                0.81848,                0.88515,                0.56353,                 1.2628,                0.90881,                 1.6478,             0.00060505,             0.00060505,             0.00060505
                     48,                  1.413,                 1.0899,                 1.6261,                0.92393,                0.81311,                0.91749,                0.57818,                 1.2274,                0.90868,                 1.6365,             0.00059405,             0.00059405,             0.00059405
                     49,                 1.4381,                 1.0942,                 1.6286,                0.88319,                0.82805,                0.90893,                0.56731,                 1.2224,                0.89793,                 1.6315,             0.00058305,             0.00058305,             0.00058305
                     50,                 1.3417,                 1.0116,                 1.5146,                0.79001,                0.90836,                0.90941,                0.59157,                 1.1993,                0.86319,                 1.6226,             0.00057205,             0.00057205,             0.00057205
                     51,                 1.3878,                 1.0717,                 1.5901,                0.86224,                0.83151,                0.90587,                0.56693,                 1.2394,                0.89165,                 1.6419,             0.00056105,             0.00056105,             0.00056105
                     52,                  1.412,                  1.057,                 1.5908,                0.85321,                0.85644,                0.91428,                0.55785,                 1.3096,                0.88564,                 1.7135,             0.00055006,             0.00055006,             0.00055006
